comment
像是把《夺宝奇兵3》结尾的机关与过关放大到全片，70％都在墓下，追求视觉奇观。寻龙诀的概念也能够使人信服。一切引子通过时空穿插回顾，交互对照。丁思甜成为穿针引线的剧情纽带，彼岸花连通生死，更是过去梦魇的镜像。尽管幻象部分还是有些虚无，好在整个故事脉络和逻辑清晰，没有游离出去。
有时间一定码个长影评。原本四星，后来想想九层妖塔都给了一星。完美契合之前的想法：有乌尔善陈国富就不用担心剧情和特效了；有黄渤和厂花就不用担心演技了。小瑕疵是反派的人设还是不够饱满但是瑕不掩瑜。观影建议：1.电影前上好厕所。2.能看IMAX一定要看IMAX。3.不要大晚上一个人去看
两年没有白等！一本满足！第一次看零点场也是超开心！剧情流畅无尿点，动作戏虽然不算多也是有看点，叽叽喳喳的略吵却也笑料实足。雪莉杨和胡八一的互动都好甜就算拌嘴都是甜的~而且胡爷男友力竟然这么高！嘤嘤嘤！胡爷我也想跟你升华下纯洁的革命情谊！！！
电影故事情节丰满，不会出现狗血情节，基本上做到了一个故事应有的开头高潮和结尾，陈坤演的有点太用力了，舒淇演自己还行但真不是Shirley杨，黄渤和夏雨演技爆表，AB一如既往0演技，撇开盗墓不说，有些人性上的探索还是不错的。
夏雨和渤渤搞笑担当，舒淇坤哥恋爱担当，一场热血奇幻的盗墓冒险，美中不足的是时间太短，什么都描述到了却又不够深入，不过还是很赞啊，满足了淑芬们对胡杨CP的所有YY哈哈哈，刚好碰上了坤哥的路演，真人真的无敌帅！！电影院二刷已预订~~
想起那句“我们是正宗的摸金范儿”…盗墓而不用说把文物上交国家，鬼神也没有“科学”解释连片中“唯物论”都像被讽刺了一道，不得不说审查变宽了。舒淇版shirley似古墓丽影劳拉酷帅就是咬字该再练练。黄渤陈坤等主演演技过关。特效用心。乌尔善发挥了长处即画面很不错。?
笑点密集，故事讲述逻辑完整，特效10块钱，主演各个出彩，AB也依然胜任了花瓶一职。这里，我必须要提一下刘晓庆阿姨，神神叨叨的婆子演得实在太好啦！！瞬间被那句“狗日的龟儿子”圈粉
"玩了一年多的盗墓梗，终于有一群稍微认真盗墓人了：不是上交国家，也不是大战怪兽！！！也许是过审的问题，剧情还是略带硬伤，但已经相当不错了！！演员也正常发挥，比另一部走心太多了！！最重要的是，特效所带来的视觉效果太赞了，配合3D,特么的爽啊！！！"
《寻龙诀》搞不好会打破《捉妖记》的票房纪录。连看了两遍，不是因为喜欢，只是因为这部电影可能是迄今为止国产奇幻类型电影的巅峰了，需要学习一下。它让我想起了我小时候看了很多遍的《夺宝奇兵3》。小说《鬼吹灯》看了一部，真的太一般了，但这无所谓，电影只需借用里面的人物不断编新故事就行了。
武汉点映，见到陈坤。相比隔壁九层妖塔，各方面确实强那么一丢丢，可其他也只剩真是盗墓故事了。中国版夺宝奇兵，所谓正宗摸金范儿；剧情单薄，反派弱鸡；四角恋全程推动叙事发展，3D效果是最大亮点。最可惜的是结尾还是没有摆脱一切牛鬼蛇神皆是幻觉这一老梗。话说崔健老师真是国产电影BGM的大救星
